project,git,language,nlanguage,audience,ui,database,LOC,nfile,ncommit,ndev,cluster
accumulo,https://github.com/apache/accumulo.git,Java,1,developer,Toolkit,F,600191,2200,9175,103,B
angular,https://github.com/angular/angular.js.git,JavaScript,1,developer,Toolkit,F,249520,1241,8720,1800,C
brackets,https://github.com/adobe/brackets.git,JavaScript,2,developer,GUI,F,379446,1575,17624,468,B
bugzilla,https://github.com/bugzilla/bugzilla,Perl,1,developer,GUI,T,78448,444,9795,209,C
camel,https://github.com/apache/camel,Java,1,developer,Toolkit,F,1310869,21669,31369,537,A
cinder,https://github.com/openstack/cinder,Python,1,developer,Non-interactive,F,434324,1740,14855,1001,B
django,https://github.com/django/django,Python,1,developer,Toolkit,F,468100,3494,25453,1745,C
fastjson,https://github.com/alibaba/fastjson,Java,1,developer,Toolkit,F,169410,2599,2684,96,C
gephi,https://github.com/gephi/gephi,Java,1,user,GUI,F,129259,1359,4599,79,D
hibernate-orm,https://github.com/hibernate/hibernate-orm.git,Java,1,developer,Toolkit,F,711086,10297,8429,407,A
hibernate-search,https://github.com/hibernate/hibernate-search,Java,1,developer,Toolkit,F,174475,2590,6022,61,A
imglib2,https://github.com/imglib/imglib2,Java,1,developer,Toolkit,F,45935,555,4891,49,C
jetty,https://github.com/eclipse/jetty.project,Java,1,developer,Non-interactive,F,519265,3252,15197,103,D
kylin,https://github.com/apache/kylin.git,Java,2,developer,Non-interactive,F,214983,2144,7112,160,D
log4j,https://github.com/apache/log4j,Java,2,developer,Toolkit,F,37419,425,3275,21,A
nova,https://github.com/openstack/nova,Python,1,developer,Non-interactive,F,430404,2674,49913,1479,B
osquery,https://github.com/facebook/osquery.git,C++,1,developer,Non-interactive,F,91133,782,4190,213,D
postgres,https://github.com/postgres/postgres,C,1,developer,Non-interactive,F,1277645,3424,44276,42,A
tomcat,https://github.com/apache/tomcat,Java,1,developer,Non-interactive,F,400869,2888,19213,36,A
wordpress,https://github.com/wordpress/wordpress,PHP,3,user,GUI,T,390034,1462,37937,82,A
